location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Other,Pennsylvania,3,6,critical/other existing credit,none,2315,"(-0.001, 7.154]",3,-1,male single,none,4,real estate,67,none,own,2,skilled,1,yes,NO,1994,5,BAD
Other,Pennsylvania,5,48,existing paid,none,5951,"(-0.001, 7.154]",0,2,female div/dep/mar,none,2,no known property,22,none,own,1,skilled,1,none,NO,1994,5,BAD
Other,Pennsylvania,5,12,critical/other existing credit,unknown,2096,"(-0.001, 7.154]",1,2,male single,unknown,-1,real estate,49,none,unknown,1,unskilled resident,2,none,NO,1994,5,BAD
Other,Pennsylvania,2,42,existing paid,guarantor,7882,"(65.862, 98.282]",1,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,unknown,NO,1994,5,BAD
Other,Pennsylvania,0,24,delayed previously,unknown,4870,"(34.309, 65.862]",0,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,NO,1994,5,GOOD
Other,Pennsylvania,5,36,existing paid,none,9055,"(-0.001, 7.154]",0,-1,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,YES,1994,5,BAD
Other,Pennsylvania,5,36,unknown,none,6948,"(7.154, 34.309]",0,2,male single,none,2,car,35,none,unknown,1,high qualif/self emp/mgmt,1,yes,YES,1994,5,BAD
Other,Pennsylvania,5,12,existing paid,none,3059,"(-0.001, 7.154]",5,2,male div/sep,none,4,real estate,61,none,own,-1,unskilled resident,1,none,YES,1994,5,GOOD
Other,Rhode Island,5,30,critical/other existing credit,none,5234,"(65.862, 98.282]",4,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,NO,1994,5,BAD
Other,South Carolina,5,12,existing paid,none,1295,"(98.282, 9298.08]",2,3,female div/dep/mar,none,-1,car,33,unknown,rent,1,skilled,1,none,YES,1994,5,BAD
Other,South Carolina,4,48,existing paid,none,4308,"(65.862, 98.282]",2,3,female div/dep/mar,none,4,life insurance,24,none,rent,-1,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,5,12,existing paid,none,1567,"(65.862, 98.282]",5,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,YES,1994,5,BAD
Other,South Carolina,5,24,critical/other existing credit,none,1199,"(-0.001, 7.154]",3,4,male single,none,-1,car,60,none,own,2,unskilled resident,1,none,NO,1994,5,GOOD
Other,South Carolina,2,15,existing paid,none,1403,"(34.309, 65.862]",0,2,unknown,none,4,car,33,none,rent,-1,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,4,24,existing paid,none,1282,"(98.282, 9298.08]",5,4,female div/dep/mar,none,-1,car,32,none,own,1,unskilled resident,1,none,YES,1994,5,GOOD
Other,South Carolina,5,18,critical/other existing credit,none,2424,"(-0.001, 7.154]",5,4,male single,none,4,life insurance,33,none,own,2,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,0,30,no credits/all paid,none,8072,"(-0.001, 7.154]",2,-1,male single,none,3,car,25,bank,own,3,skilled,1,none,YES,1994,5,BAD
Other,South Carolina,5,24,existing paid,none,2315,"(-0.001, 7.154]",3,4,female div/dep/mar,none,2,no known property,33,none,for free,-1,high qualif/self emp/mgmt,1,yes,YES,1994,5,BAD
Other,South Carolina,5,24,unknown,unknown,3430,"(-0.001, 7.154]",3,3,male single,unknown,2,car,31,none,own,1,skilled,1,yes,YES,1994,5,BAD
Other,South Carolina,5,18,critical/other existing credit,none,2134,"(-0.001, 7.154]",0,4,male single,none,4,car,48,none,own,3,skilled,1,yes,YES,1994,5,GOOD
